filename,cloaked_distance,ai_distance
85_1_1_20170110184037971,ERROR,ERROR
25_0_0_20170117191852883,0.366349,0.598266
31_1_4_20170117203017127,0.422396,0.417205
29_1_1_20170114032143096,0.278634,0.366932
71_0_2_20170112224258484,0.832267,0.835247
68_0_0_20170117172618723,0.05915,0.74794
85_0_0_20170111205830721,ERROR,ERROR
64_1_0_20170110131514547,0.401056,0.48555
45_1_0_20170117001056094,0.0,0.417353
23_1_2_20170116173233383,0.218851,0.28214
34_0_3_20170117141317532,0.199214,0.453005
61_1_0_20170117192206514,0.323002,0.407849
66_0_1_20170111195703017,0.154662,0.182489
65_1_0_20170110141104816,0.302295,0.376716
75_0_0_20170111205635250,0.430879,0.368798
54_1_0_20170117171700131,0.429907,0.485603
35_1_1_20170117190321049,0.925528,0.88287
60_1_0_20170110131846245,0.46067,0.466749
57_0_0_20170111171747481,0.488399,0.373058
45_0_0_20170117185253753,0.450597,0.618773
66_1_0_20170117175408412,ERROR,ERROR
45_0_1_20170117204117178,0.196095,0.321606
50_0_0_20170113184526311,0.47124,0.581306
41_0_0_20170117131137875,0.469732,0.656054
28_0_0_20170113210126785,0.179126,0.285567
56_1_0_20170110141656511,0.713907,0.714828
68_1_0_20170110183125200,0.754743,0.669598
50_0_0_20170117172638411,ERROR,ERROR
80_0_0_20170111205531200,0.286178,0.391837
26_1_1_20170112213310815,0.344511,0.457189
43_0_0_20170111200147932,0.493953,0.603945
58_1_0_20170110160643673,0.452714,0.542859
22_1_1_20170114033236159,0.171628,0.308672
42_0_0_20170117135611209,0.054729,0.936645
51_0_0_20170117160750863,ERROR,ERROR
72_1_0_20170110175340308,0.398232,0.570903
75_0_0_20170111200622706,0.271158,0.42579
72_1_0_20170110160644063,0.523525,0.567776
86_1_0_20170110153717173,0.016949,0.238158
77_1_0_20170110132442352,0.545467,0.52554
45_1_0_20170111182452905,0.528287,0.88129
25_1_4_20170117193933452,0.367831,0.430239
66_1_0_20170110175837753,0.424061,0.516191
24_1_0_20170116222857892,0.377621,0.369684
22_1_1_20170114030632764,ERROR,ERROR
60_0_1_20170117160042904,0.0,0.911214
70_1_0_20170110140702586,0.507901,0.441211
73_1_0_20170110160644079,0.372852,0.489218
59_0_0_20170117175959580,0.47629,0.540652
40_1_1_20170113012546137,0.470563,0.434289
35_1_1_20170116222842436,0.835322,0.259912
50_1_0_20170117145826250,0.281023,0.60001
79_1_0_20170110131753196,0.586442,0.319503
28_1_0_20170117175333441,0.646701,0.783243
45_0_3_20170117165700077,0.0,0.57321
31_1_1_20170112204529987,0.177432,0.204322
67_0_0_20170113185521375,0.556591,0.674369
50_0_0_20170117154624362,0.495824,0.561459
58_1_0_20170110140856753,0.634673,0.566461
50_0_1_20170111203545405,0.167268,0.226691
64_1_0_20170110131951168,0.634673,0.567005
47_0_1_20170113184729088,0.0,0.392282
43_0_1_20170111194850581,0.349569,0.334007
60_1_0_20170110160643720,0.62454,0.53946
74_0_0_20170111223730444,0.301616,0.245578
96_1_0_20170110172637082,0.188607,0.250172
69_0_1_20170113184901806,0.332236,0.293421
85_0_0_20170111205839209,0.235439,0.364061
45_1_1_20170117183357517,0.35908,0.27431
62_1_0_20170110141039449,0.342109,0.436606
25_1_1_20170117140407096,0.543811,0.684899
66_1_0_20170110140413980,0.437835,0.372196
52_0_0_20170111205535761,0.343296,0.484108
33_1_1_20170113161351324,0.202156,0.368325
34_0_1_20170117141457492,0.16416,0.257497
80_1_0_20170117175421676,0.632815,0.881638
50_0_0_20170117135334839,0.035346,0.893476
49_1_0_20170109220426712,0.315878,0.28835
34_1_1_20170114024710355,0.0,0.64204
23_1_4_20170117183858768,0.0,0.49894
23_1_0_20170117145019683,0.231713,0.213501
24_1_0_20170117194653203,0.496068,0.462072
45_1_0_20170117183404676,0.386062,0.412601
32_1_1_20170116001955132,0.380207,0.368655
53_1_0_20170117191020179,0.273285,0.501048
50_0_0_20170111171747301,0.503072,0.440248
75_0_1_20170111205346848,0.594374,0.711558
35_1_1_20170117194931418,0.692772,0.42323
31_1_4_20170117203047078,0.363954,0.432704
40_0_2_20170116183858838,0.961652,0.529248
90_0_0_20170111210403969,0.261597,0.354641
63_1_0_20170110141842534,0.295954,0.321185
24_1_4_20170117194845444,0.0,0.383272
84_1_0_20170120230257434,ERROR,ERROR
25_1_1_20170117154035392,-0.0,0.448222
25_0_1_20170114032830907,0.361498,0.561703
85_0_0_20170111210319130,0.398085,0.495898
59_1_1_20170116233345047,ERROR,ERROR
40_0_2_20170116181205807,0.879721,0.94012
63_1_0_20170110160643845,0.615059,0.66095
40_1_1_20170117140949600,0.436206,0.476096
85_1_0_20170110180531278,0.454864,0.498828
36_0_3_20170117183310510,0.0957,0.313066
25_1_0_20170117145120563,0.468027,0.506942
42_0_3_20170117135542270,0.350565,0.562242
